項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
M365& Copilot Training,2025/11/17 下午 02:00,2025/11/17 下午 03:00,完成,TAFK東麗M365& Copilot Training,,Aaron,Training,customer,天微,,,,,,,Copilot for M365,,,,
雲知識補給:Azure AI Foundry,2025/11/10 下午 02:00,2025/11/10 下午 02:30,完成,雲知識補給:Azure AI Foundry,,Nick,Webinar,reseller,,,,,AIBS,,,Azure,,,,
M365產品介紹與導入評估說明,2025/11/18 下午 04:00,2025/11/18 下午 04:30,完成,"中國電器 x 微軟M365產品介紹與導入評估說明
預計從網擎更換至 Microsoft 365 
建議版本 Microsoft 365 商務進階版，並介紹相關安全解決方案",,Aaron,,,敦陽,,,,,,,Security,,,,
倍利科技 - github教學與說明,2025/11/12 上午 10:00,2025/11/12 上午 11:00,完成,倍利科技 - github教學與說明,,Nick,經銷商產品訓練,customer,,,,,AIBS,,,Github Copilot,,"6,000",,
天心Azure移轉,2025/11/5 上午 10:00,2025/11/5 上午 10:30,完成,線上協助天心移轉azure訂閱帳號,,Lucas,Implement,經銷商,,,,,CAIP,,,Azure,,,,
創群 - Copilot PC & AI 微軟專案,2025/11/17 下午 02:00,2025/11/17 下午 04:00,完成,"創群 - Copilot PC & AI 微軟專案

客戶AI主要使用機器學習, 有購買5090的GPU, AI應用主要在政府標案,

我們主推copilot studio, 建議可以應用在公司內部, 現行可以完全不需要程式碼且有三個月測試使用

","copilot studio 完全nocode實作說明
後續反饋與追蹤交由PM窗口執行與收集",Nick,Solution introduction,customer,,,,,AIBS,,,Copilot Studio,,,,
SureStep 線上課,2025/11/13 上午 11:00,2025/11/13 下午 12:00,完成,SureStep Gear Up - Azure Migration Option,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
駿永- Copilot PC & AI 微軟專案,2025/11/18 上午 03:00,2025/11/18 上午 05:00,完成,"駿永- Copilot PC & AI 微軟專案

客戶的AI應用在線上會議, 但是客戶端自行開發主機, 將會議影音檔放在自家主機, 客戶的產品也是應用在政府標案相關

我們主推copilot studio, 同樣是建議他們在內部導入, 應用在庶務相關知識

客戶表示年後可在約現場的教育訓練","copilot studio 完全nocode實作說明
後續反饋與追蹤交由PM窗口執行與收集",Nick,Solution introduction,reseller,,,,,AIBS,,,Copilot Studio,,,,
微软安全加速月 - Microsoft Sentinel and Beyond,2025/11/12 下午 04:00,2025/11/12 下午 05:30,完成,微软安全加速月 - Microsoft Sentinel and Beyond,,Lucas,受訓,,,,,,AIBS,,,Security,,,,
微软安全加速月 - Security for AI,2025/11/19 下午 04:00,2025/11/19 下午 05:30,完成,微软安全加速月 - Security for AI,,Aaron,受訓,,,,,,Security,,,Security,,,,
